permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201706129083;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Haight Ashbury;300.0;0.0;NULL;2017
M796007;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Outer Mission;NULL;0.0;NULL;2017
M796027;otc alterations permit;2017-06-12;2017-06-14;NULL;issued;Outer Richmond;NULL;2.0;NULL;2017
M796047;otc alterations permit;2017-06-12;2017-06-14;NULL;issued;Outer Richmond;NULL;2.0;NULL;2017
M796048;otc alterations permit;2017-06-12;2017-06-13;NULL;issued;Presidio Heights;NULL;1.0;NULL;2017
M796067;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Bernal Heights;NULL;0.0;NULL;2017
201706129084;otc alterations permit;2017-06-12;2017-06-12;2017-06-15;complete;Hayes Valley;12000.0;0.0;3.0;2017
201706129085;otc alterations permit;2017-06-12;2017-06-14;NULL;issued;Noe Valley;10000.0;2.0;NULL;2017
M765029;otc alterations permit;2017-03-01;2017-06-12;NULL;issued;West of Twin Peaks;NULL;103.0;NULL;2017
M796087;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2017
201706129091;otc alterations permit;2017-06-12;2017-06-12;2017-06-29;complete;Mission;500.0;0.0;17.0;2017
M796107;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Tenderloin;NULL;0.0;NULL;2017
M796127;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;North Beach;NULL;0.0;NULL;2017
M796147;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
201706129094;otc alterations permit;2017-06-12;NULL;NULL;filed;North Beach;30000.0;NULL;NULL;2017
M796167;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
201706129097;otc alterations permit;2017-06-12;2017-06-12;2017-06-13;complete;Bernal Heights;1.0;0.0;1.0;2017
201706129100;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Mission;75000.0;NULL;NULL;2017
201706129098;additions alterations or repairs;2017-06-12;NULL;NULL;approved;Nob Hill;65000.0;NULL;NULL;2017
201706129101;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Portola;1.0;0.0;NULL;2017
M796207;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Sunset/Parkside;NULL;0.0;NULL;2017
201706129105;otc alterations permit;2017-06-12;2017-06-21;2017-06-21;complete;Hayes Valley;1.0;9.0;9.0;2017
201706129106;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Excelsior;1800.0;0.0;NULL;2017
M729328;otc alterations permit;2016-10-12;2017-06-13;NULL;issued;Financial District/South Beach;NULL;244.0;NULL;2016
201706139109;otc alterations permit;2017-06-13;NULL;NULL;withdrawn;Bayview Hunters Point;130000.0;NULL;NULL;2017
201706139111;otc alterations permit;2017-06-13;2017-06-16;NULL;issued;Haight Ashbury;24300.0;3.0;NULL;2017
201706139113;otc alterations permit;2017-06-13;2017-06-26;NULL;issued;Inner Richmond;66000.0;13.0;NULL;2017
201706139116;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Presidio Heights;7887.0;0.0;NULL;2017
201706139119;sign - erect;2017-06-13;2017-06-15;NULL;issued;Bayview Hunters Point;10000.0;2.0;NULL;2017
M796227;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M796247;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Mission;NULL;0.0;NULL;2017
M796267;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
201706139121;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Western Addition;4800.0;0.0;NULL;2017
201706139122;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Oceanview/Merced/Ingleside;8000.0;0.0;NULL;2017
201706139123;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Inner Sunset;5599.0;0.0;NULL;2017
201706139127;otc alterations permit;2017-06-13;2017-06-16;NULL;issued;Sunset/Parkside;5969.0;3.0;NULL;2017
M796287;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
201706139130;otc alterations permit;2017-06-13;2017-06-14;NULL;issued;South of Market;35000.0;1.0;NULL;2017
201706139131;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Pacific Heights;250000.0;NULL;NULL;2017
M796327;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Marina;NULL;0.0;NULL;2017
201706139129;otc alterations permit;2017-06-13;2017-06-13;2018-01-16;complete;Pacific Heights;40000.0;0.0;217.0;2017
M796328;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Unknown;NULL;0.0;NULL;2017
201706139137;otc alterations permit;2017-06-13;2017-06-13;2017-06-16;complete;Sunset/Parkside;5700.0;0.0;3.0;2017
M796347;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
201706129086;otc alterations permit;2017-06-12;2017-06-12;2017-06-30;complete;Bernal Heights;14000.0;0.0;18.0;2017
201706139157;otc alterations permit;2017-06-13;2017-06-13;2017-06-21;complete;West of Twin Peaks;18700.0;0.0;8.0;2017
201706139139;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Outer Richmond;4000.0;0.0;NULL;2017
201706139158;otc alterations permit;2017-06-13;NULL;NULL;filed;Potrero Hill;5000.0;NULL;NULL;2017
201706139160;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Pacific Heights;10000.0;0.0;NULL;2017
201706139162;otc alterations permit;2017-06-13;NULL;NULL;filed;West of Twin Peaks;NULL;NULL;NULL;2017
201706139161;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Noe Valley;65000.0;0.0;NULL;2017
201706139141;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;West of Twin Peaks;5384.0;0.0;NULL;2017
201706139168;additions alterations or repairs;2017-06-13;NULL;NULL;filed;Castro/Upper Market;160000.0;NULL;NULL;2017
201706139171;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;West of Twin Peaks;1.0;0.0;NULL;2017
201706139170;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Mission Bay;22000.0;0.0;NULL;2017
M796367;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;North Beach;NULL;0.0;NULL;2017
201706139177;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Mission;10000.0;0.0;NULL;2017
201706139178;otc alterations permit;2017-06-13;NULL;NULL;filed;Pacific Heights;100000.0;NULL;NULL;2017
201706139144;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Sunset/Parkside;2649.0;0.0;NULL;2017
201706139145;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Outer Richmond;10631.0;0.0;NULL;2017
201706139180;otc alterations permit;2017-06-13;2017-06-13;2017-06-20;complete;Golden Gate Park;3500.0;0.0;7.0;2017
201706139181;otc alterations permit;2017-06-13;2017-06-13;NULL;issued;Haight Ashbury;14000.0;0.0;NULL;2017
